title,location,year,odometer,price,link
2024 Toyota RAV4,"Kumeu, Auckland     ",2024,69km,,https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4727045685?rsqid=4fc80cfeddc74a0e9491ec239d0691e3-001
2020 Toyota RAV4,"Auckland, Auckland  ",2020,"35,746km","$46,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4726787857?rsqid=4fc80cfeddc74a0e9491ec239d0691e3-001
2019 Toyota RAV4,"Auckland, Auckland  ",2019,"77,493km","$38,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4725019978?rsqid=4fc80cfeddc74a0e9491ec239d0691e3-001
2019 Toyota RAV4,"Pukekohe, Auckland  ",2019,"68,615km","$37,588",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4721659765?rsqid=4fc80cfeddc74a0e9491ec239d0691e3-001
2023 Toyota RAV4,NA                  ,2023,"30,601km","$35,995",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4721491232?rsqid=4fc80cfeddc74a0e9491ec239d0691e3-001
2023 Toyota RAV4,"Auckland, Auckland  ",2023,"4,900km","$53,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4721477520?rsqid=4fc80cfeddc74a0e9491ec239d0691e3-001
2023 Toyota RAV4,"Auckland, Auckland  ",2023,"4,457km","$47,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4720874212?rsqid=4fc80cfeddc74a0e9491ec239d0691e3-001
2023 Toyota RAV4,"Auckland, Auckland  ",2023,"7,000km","$51,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4718019251?rsqid=4fc80cfeddc74a0e9491ec239d0691e3-001
2024 Toyota RAV4,NA                  ,2024,"5,000km","$51,995",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4716721327?rsqid=c4218d5cce754a279c657223dc0a608b-001
2019 Toyota RAV4,"Auckland, Auckland  ",2019,"66,500km","$33,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4715072369?rsqid=c4218d5cce754a279c657223dc0a608b-001
2021 Toyota RAV4,NA                  ,2021,"35,500km","$49,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4714822446?rsqid=c4218d5cce754a279c657223dc0a608b-001
2023 Toyota RAV4,"Papakura, Auckland  ",2023,"1,354km","$59,988",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4714733581?rsqid=c4218d5cce754a279c657223dc0a608b-001
2022 Toyota RAV4,NA                  ,2022,"36,600km","$39,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4713242529?rsqid=c4218d5cce754a279c657223dc0a608b-001
2022 Toyota RAV4,"Auckland, Auckland  ",2022,"49,191km","$35,490",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4711691909?rsqid=c4218d5cce754a279c657223dc0a608b-001
2019 Toyota RAV4,NA                  ,2019,"39,186km","$42,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4711410324?rsqid=c4218d5cce754a279c657223dc0a608b-001
2019 Toyota RAV4,Auckland            ,2019,"13,850km","$38,845",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4709752078?rsqid=c4218d5cce754a279c657223dc0a608b-001
2018 Toyota RAV4,NA                  ,2018,"54,275km","$24,900",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4709718713?rsqid=c4218d5cce754a279c657223dc0a608b-001
2020 Toyota RAV4,"Auckland, Auckland  ",2020,"41,910km","$44,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4708189663?rsqid=c4218d5cce754a279c657223dc0a608b-001
2023 Toyota RAV4,"Auckland, Auckland  ",2023,"26,751km","$36,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4706288210?rsqid=c4218d5cce754a279c657223dc0a608b-001
2021 Toyota RAV4,"Auckland, Auckland  ",2021,"28,361km","$42,995",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4701510390?rsqid=c4218d5cce754a279c657223dc0a608b-001
2024 Toyota RAV4,"Auckland, Auckland  ",2024,"4,500km","$48,790",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4699782467?rsqid=c4218d5cce754a279c657223dc0a608b-001
2020 Toyota RAV4,"Auckland, Auckland  ",2020,"40,216km","$45,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4698285921?rsqid=c4218d5cce754a279c657223dc0a608b-001
2020 Toyota RAV4,NA                  ,2020,"63,000km","$45,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4691960788?rsqid=c4218d5cce754a279c657223dc0a608b-001
2021 Toyota RAV4,"Auckland, Auckland  ",2021,"22,250km","$45,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4691789238?rsqid=c4218d5cce754a279c657223dc0a608b-001
2018 Toyota RAV4,"Auckland, Auckland  ",2018,"77,935km","$26,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4690327841?rsqid=c4218d5cce754a279c657223dc0a608b-001
2022 Toyota RAV4,"Auckland, Auckland  ",2022,"47,813km","$38,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4690266712?rsqid=c4218d5cce754a279c657223dc0a608b-001
2019 Toyota RAV4,NA                  ,2019,"56,654km","$35,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4690190275?rsqid=c4218d5cce754a279c657223dc0a608b-001
2021 Toyota RAV4,"Auckland, Auckland  ",2021,"45,207km","$48,880",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4688300367?rsqid=c4218d5cce754a279c657223dc0a608b-001
2019 Toyota RAV4,"Auckland, Auckland  ",2019,"72,810km","$38,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4687696982?rsqid=c4218d5cce754a279c657223dc0a608b-001
2019 Toyota RAV4,"Auckland, Auckland  ",2019,"75,394km","$40,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4687696981?rsqid=c4218d5cce754a279c657223dc0a608b-001
