title,location,year,odometer,price,link
2024 Honda CR-V,NA                  ,2024,"10km 1498cc, Petrol, Automatic","$57,000",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4631499753?rsqid=dab1caa9f8284e21ab8f40c84d59f378-001
2023 Honda CR-V,NA                  ,2023,"13,995km 1496cc, Petrol, Automatic","$47,900",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4772983150?rsqid=dab1caa9f8284e21ab8f40c84d59f378-001
2022 Honda CR-V,"East Auckland, Auckland",2022,"28,031km 1496cc, Petrol, Automatic","$35,990",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4769128846?rsqid=dab1caa9f8284e21ab8f40c84d59f378-001
2018 Honda CR-V,"Christchurch, Canterbury",2018,"75,649km 1498cc, Petrol, Automatic","$26,990",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4767711550?rsqid=dab1caa9f8284e21ab8f40c84d59f378-001
2021 Honda CR-V,"East Auckland, Auckland",2021,"25,640km 1496cc, Petrol, Automatic","$32,990",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4767467018?rsqid=dab1caa9f8284e21ab8f40c84d59f378-001
2022 Honda CR-V,"East Auckland, Auckland",2022,"16,398km 1496cc, Petrol, Automatic","$37,990",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4765937536?rsqid=dab1caa9f8284e21ab8f40c84d59f378-001
2020 Honda CR-V,"Drury, Auckland     ",2020,"67,450km 1498cc, Petrol, Automatic","$34,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4762955524?rsqid=dab1caa9f8284e21ab8f40c84d59f378-001
2022 Honda CR-V,"East Auckland, Auckland",2022,"11,772km 1496cc, Petrol, Automatic","$41,900",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4760938930?rsqid=dab1caa9f8284e21ab8f40c84d59f378-001
2019 Honda CR-V,"Auckland, Auckland  ",2019,"40,402km 1993cc, Hybrid, Automatic","$34,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4757840930?rsqid=dab1caa9f8284e21ab8f40c84d59f378-001
2023 Honda CR-V,"Drury, Auckland     ",2023,"6,827km 1496cc, Petrol, Automatic","$49,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4755527275?rsqid=dab1caa9f8284e21ab8f40c84d59f378-001
2021 Honda CR-V,"East Auckland, Auckland",2021,"26,009km 1496cc, Petrol, Automatic","$35,900",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4749958326?rsqid=dab1caa9f8284e21ab8f40c84d59f378-001
2019 Honda CR-V,"East Auckland, Auckland",2019,"43,072km 1498cc, Petrol, Automatic","$35,900",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4739720006?rsqid=dab1caa9f8284e21ab8f40c84d59f378-001
2022 Honda CR-V,"East Auckland, Auckland",2022,"17,445km 1496cc, Petrol, Automatic","$36,900",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4738302394?rsqid=dab1caa9f8284e21ab8f40c84d59f378-001
2022 Honda CR-V,"East Auckland, Auckland",2022,"23,508km Petrol, Automatic","$35,900",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4738300746?rsqid=dab1caa9f8284e21ab8f40c84d59f378-001
2020 Honda CR-V,"East Auckland, Auckland",2020,"20,477km 1498cc, Petrol, Automatic","$38,900",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4736019565?rsqid=dab1caa9f8284e21ab8f40c84d59f378-001
2022 Honda CR-V,"East Auckland, Auckland",2022,"20,890km 1496cc, Petrol, Automatic","$36,900",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4732958202?rsqid=dab1caa9f8284e21ab8f40c84d59f378-001
2020 Honda CR-V,NA                  ,2020,"32,000km 1498cc, Petrol, Automatic","$39,900",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4732811903?rsqid=dab1caa9f8284e21ab8f40c84d59f378-001
2022 Honda CR-V,"Auckland, Auckland  ",2022,"25,500km 1496cc, Petrol, Automatic","$39,990",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4724756522?rsqid=e17c5a6d70d946699d66f0cd531cdd94-001
2021 Honda CR-V,NA                  ,2021,"38,822km 1498cc, Petrol, Automatic","$34,900",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4716564251?rsqid=e17c5a6d70d946699d66f0cd531cdd94-001
2022 Honda CR-V,NA                  ,2022,"7,916km 1496cc, Petrol, Automatic","$38,900",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4759753229?rsqid=e17c5a6d70d946699d66f0cd531cdd94-001
2021 Honda CR-V,NA                  ,2021,"36,086km 1498cc, Petrol, Automatic","$34,900",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4765628252?rsqid=e17c5a6d70d946699d66f0cd531cdd94-001
2022 Honda CR-V,"Christchurch, Canterbury",2022,"31,000km 1496cc, Petrol, Automatic","$39,990",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4701727567?rsqid=e17c5a6d70d946699d66f0cd531cdd94-001
2022 Honda CR-V,NA                  ,2022,"50,417km 1496cc, Petrol, Automatic","$42,900",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4693708162?rsqid=e17c5a6d70d946699d66f0cd531cdd94-001
2022 Honda CR-V,"East Auckland, Auckland",2022,"42,153km 1496cc, Petrol, Automatic","$36,990",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4680679836?rsqid=e17c5a6d70d946699d66f0cd531cdd94-001
2018 Honda CR-V,"Auckland, Auckland  ",2018,"61,700km 1498cc, Petrol, Automatic","$23,889",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4680186602?rsqid=e17c5a6d70d946699d66f0cd531cdd94-001
2023 Honda CR-V,NA                  ,2023,"12,500km 1496cc, Petrol","$44,990",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4669654313?rsqid=e17c5a6d70d946699d66f0cd531cdd94-001
